premise,question,choice1,choice2,choice3,label,idx
bailey was a nice person so she called the family together.,What will happen to Others?,talk to the family,hate bailey,thank bailey,2,0
Alex found a ring on the beach and tried to find who it belonged to.,What will the person who lost want to do next?,throw it in the ocean,turn it into lost and found,leave the beach,1,1
Quinn player with remy swinging her around and she laughed and asked for more.,What will Quinn want to do next?,be friendly with Remy,have the trust of Remy,Put Remy down,2,2
Casey was popular throughout high school. Casey was a star football player there.,How would you describe Casey?,a lazy person,casey who has a star of football player,a social person,2,3
Alex bumped the table that the coffee was placed on.,What will happen to Riley?,continue to drink the coffee,spill the coffee,have to buy a refill,1,4
Robin took Taylor's laptop in for repair and cleaning.,What will happen to Taylor?,pay the bill for the repair and cleaning,useless,supported,0,5
Ash was still angry at his mother for making his sandwich without mustard.,How would you describe Ash?,mustardless,petty,sweet,1,6
Quinn spilt their guts with his raucous jokes and good humor.,How would you describe Quinn?,a very serious person,a very funny person,a very sullen person,1,7
Kendall saw their crush standing at the movie theater.,How would Kendall feel afterwards?,embarassed,very shy,like she wanted to talk,1,8
Kai's girlfriend loved to travel all over. Kai also liked travelling so they did it together.,Why did Kai do this?,wanted to have new experiences,wanted to have old memories,Be happy for them,0,9
Janbought a cat at the pet store and brought it home with them.,What will happen to Jan?,form a bond with the cat,buy a turtle,take care of their cat,0,10
"Casey was using Riley's lip balm, than put it back in her purse.",What does Casey need to do before this?,purchase new lip balm,ask Riley if she could borrow it,steal it from Riley,1,11
Taylor played dodgeball with a group of friends at school.,How would Others feel as a result?,heartbroken,sociable,upset,1,12
Jordan had a test that she needed to study for tomorrow.,How would you describe Jordan?,a student,smart,a college dropout,0,13
"Robin had been friends with him for years, and wanted to do something special for his birthday.",What will Robin want to do next?,Gather friends,Buy a card with a short note inside,Call him and wish a happy birthday,0,14
Jordan took a football outside to play with their friends.,What does Jordan need to do before this?,play football,buy a football,go outside,1,15
riley saved their people from an oppressive regime and installed a new leader.,What will happen to Others?,become an adviser,be angry at riley,be saved,2,16
tracy was a protective mother so she shielded aubrey's eyes.,What will happen to Aubrey?,hide Aubrey from the shocking sight,continue to protect Aubrey from the scary sight,he will thank tracy,2,17
Addison tried with all their might but they couldn't lift the large boulder from their father's leg.,What will Addison want to do next?,keep their father calm,watch the boulder crush his leg,call the police,2,18
"Kendall felt the lump inside Jesse, and told Jesse they needed to be tested for cancer.",How would Kendall feel afterwards?,worried that Jesse might have gas,determined to find out what's going on with Kendall,worried that Jesse might have cancer,2,19
Jesse called the school immediately to make a complaint with the principal.,What will the school want to do next?,Expel all of the students,Buy a phone from the store,Be apologetic to Jesse,2,20
Robin blew this popsicle stand. It wasn;t as fun as she had hoped it would be.,How would you describe Robin?,thrill seeking,stay longer,indifferent,0,21
Tracy craned her neck around quickly to see the bird fly past.,What will happen to Tracy?,do neck exercises,see a car driving by,see the bird flying overhead,2,22
Casey came to light about what had happened at school.,What does Casey need to do before this?,lie to others,be honest,investigate more,2,23
"Bailey liked to house-sit as a side job, so when her friend went on vacation Bailey took on Taylor's place.",What will happen to Bailey?,strong,watch over Taylor's house,proud,1,24
tracy needed to talk to addison so she walked behind him.,What will happen to Addison?,catch up to Addison,he will turn around,he will ignore tracy,1,25
Riley beat around the bush because he wanted to stall.,Why did Riley do this?,make a decision,understand the situation,be nice,1,26
Quinn was having a talk with their significant other. Quinn poured their heart out.,How would Others feel as a result?,relieved,ignored,better,2,27
Quinn was fishing in the bay with her father and pulled the fish out of the water.,Why did Quinn do this?,catch the fish,save the fish from drowning,put the fish on ice,0,28
Lee put their lips onto Skylar's lips during the movie.,Why did Lee do this?,kiss Skylar,kiss back,ignore the movie,0,29
Bailey works at a health spa that works on people's bodies to pamper them.,What will happen to Skylar?,freak out,upset,have their nails painted,2,30
Jesse published notes in journals and caught her sister reading them when she walked in.,What will happen to Jesse?,violated,be mad,be angry,1,31
Addison walked to their room and regretted getting grounded for a month.,How would Addison feel afterwards?,sorry for themselves,like slamming their room door,like rebelling against authority,0,32
Carson finally got back from the park that day.,How would Carson feel afterwards?,like she had fun,exhausted,lonely,0,33
"Addison called the others the next day, after missing their call initially.",What will happen to the others?,pick up the phone,be unwilling to answer,wonder who Addison is,0,34
"Bailey was playing in the ocean at the beach, but Bailey started to sink.",What will Bailey want to do next?,ignore the lifeguard,stop trying to swim,signal a lifeguard,2,35
"Jesse bought a new Ford Mustang. On his way home he blew through town going as fast as he could, almost getting a ticket.",What did Jesse do?,nervous,bought a new car,sold his old station wagon,1,36
Riley saw Cameron walk away from school even though school was in session.,What will Cameron want to do next?,go to the mall,chase after Cameron,tell the teacher,0,37
"Tracy wants to make a special dinner tonight, so they went shopping today.",Why did Tracy do this?,buy ingredients for dinner,buy new clothes for a date,put the food away,0,38
Jordan looked like a new person after losing a lot of weight.,What does Jordan need to do before this?,exercise a lot,eat many foods,stop eating,0,39
Casey brought the truth to light about where they went last night.,How would Casey feel afterwards?,like a liar,honest,upset,1,40
Sasha beat her sister easily since she was 10 years older.,What will happen to Sasha?,stay better than her sister,keep beating her sister,get confident,1,41
Tracy talked on the phone all night with Beth and stayed up late.,Why did Tracy do this?,rebel against her parents' bedtime,play games on the new phone app,keep having fun with Beth on the phone,2,42
Taylor got sick on Tuesday and was unable to perform in the play.,What will Taylor want to do next?,thank Bailey for helping out,thank Jenna for helping them out,be happy they were unable to go,1,43
"Aubrey saw every person who walked into her store that day, but the man who forgot his glasses yesterday never showed up.",What will Aubrey want to do next?,try and find the man,call the police,send an email to her coworker,0,44
Casey found a friend to play with while she was on school vacation.,What will Casey want to do next?,ignore the friend,meet the friend,stay at home,1,45
Aubrey went to the store to get some shampoo for her shower in the morning.,What will Aubrey want to do next?,buy a roast chicken,leave the house,get a good deal,2,46
Sydney left Jesse after a time and returned home to eat food.,How would Jesse feel as a result?,very loved,quite alone,someone who sticks to routine,1,47
Remy wanted to help out people who were less fortunate than them.,What will Others want to do next?,refuse help,do the same,be helpful,1,48
Casey was refusing Addison's request to go to the dance on Friday.,What does Addison need to do before this?,laugh to get out of it,beg Chase to go,cry to get her way,1,49
Bailey helped Taylor move into their new apartment in the city.,Why did Bailey do this?,start looking for a job,move Taylor in,decorate the apartment,1,50
Jesse called out immediately for help from other workers when a machine fell on their foot.,How would other workers feel as a result?,concern for Jesse,happy for Jesse,as kind,0,51
Addison twisted Casey's arm into going out for a drink after work.,What will happen to Casey?,drink at home,enjoying going out,go for dessert,1,52
Ash missed work due to being sick but did not bother to place a call saying they would not be in.,How would you describe Ash?,a considerate person,a poor employee,remorseful about inconveniencing their boss,1,53
Austin spent their time reading because they had nothing else to do.,What will Austin want to do next?,study,sleep,eat,1,54
Remy was a web developer at a well respected consulting firm.,What does Remy need to do before this?,Go to college,Drop out of high school,wanted to be successful,0,55
Lee sold a TV on Craigslist for a great price.,What will Others want to do next?,make some extra money to see Lady Gaga,make money to help out his family,buy the TV,2,56
After struggling with the game for several months Taylor beat it.,What will Taylor want to do next?,start the level over again,try again to beat it,start a new game,2,57
Tracy refused to recycle and save energy to help protect the Earth.,How would you describe Tracy?,important to change habits,ashamed,guilty,2,58
"Remy took their laptop everywhere, but eventually forgot it on a bus.",What does Remy need to do before this?,take the laptop on a bus,take the laptop to the kitchen,study,0,59
Remy gave more money to the charity after they received their paycheck.,What will Remy want to do next?,support the charity,be a helpful person,donate all their money,0,60
"The meet was supposed to be the hardest yet, but Sasha beat the record easily.",What will happen to Sasha?,be awarded,try to beat Sasha,lose her trophy,0,61
Riley saved their people a lot of time at work by implementing a new software solution.,How would Riley feel afterwards?,intelligent,ineffective,incompetent,0,62
Quinn applied for a job at a new company. Quinn hoped he would get it.,What does Quinn need to do before this?,call the company and yell at them,wait and in the meantime email other companies,find the new job that he wanted to get,2,63
Alex acted on Ash's anger and smashed the delicate china bowl.,How would Alex feel afterwards?,calm yet hurt with Ash,strong and empowered,regretful they broke the bowl,2,64
Alex goes over the song a few times with the class. Alex takes time to practice with them over and over.,What will Alex want to do next?,give them a test on the song,make them practice a new song,have them learn a new song,0,65
Kendall contained Sasha's number in their phone and never deleted it after getting a new one.,What will happen to Sasha?,be known,be famous,be refreshed,0,66
There was a woman's movement to take legislation to the courts.,What does Aubrey need to do before this?,want change,Join the movement,join the army,1,67
Taylor went to church and told the priest that he needed to be forgiven for sins.,What does Taylor need to do before this?,repent,find a chuech,be rude,1,68
Bailey spent time at Alex's house every chance they could get.,What will happen to Alex?,needed,become close to Alex,become like family,2,69
Bailey spent a lot of time together with their friends at the beach house that summer.,What does Bailey need to do before this?,Drink beers,buy a beach house,go to the beach,2,70
"Remy was Kai's favorite cow so when he died, Kai tanned Remy's hide.",Why did Kai do this?,thought the hide would look nice by the fireplace,wear the hide as a Halloween costume next October,"see if it would taste good, like beef jerky",0,71
Bailey took matters into their hands and got the whole place decorated for the party.,How would Bailey feel afterwards?,happy to make the cake look beautiful,pleased that the party would be good,pleased that the punch would be good,1,72
Skylar was trying to get a leaf from Jordan's head so they shook Jordan's head.,How would you describe Skylar?,lpful,rude,Abusive,1,73
Lee Murdered the person that was hurting Austin because he loved Austin with all his heart.,Why did Lee do this?,cared for Austin,hated Austin,wanted Austin to be hurt,0,74
Alex acted on Ash's best interest when they told the teacher what happened.,What does Alex need to do before this?,explain what happened to Ash,doing,know their best interest,0,75
The team needed a name and they asked Jesse since he was the captain.,What will the team want to do next?,win games!,lose games!,make a banner with their picture,0,76
Cameron made perfect grades and made the principals list because of it.,How would Cameron feel afterwards?,lucky,intelligent,would be ill-conceived,1,77
"Even though Kendall had promised to help, when the time came, Kendall leaved Jan high and dry.",What will Jan want to do next?,spend more time with them,avoid Kendall entirely,untrustworthy,1,78
Lee visited their mother illegally who was a fugitive on the run from the law.,What will happen to Lee?,become an accomplice,not put themselves in that kind of danger,report their mothers where abouts to law enforcement,0,79
Ash was raising her kids alone and people thought she wasn't doing well. Ash was a good mother to the two young kids.,What will Ash want to do next?,was loving,keep watching parents,do her best,2,80
"Typical of every four months, Alex went to the doctor for a routine checkup and was told he needs rest.",What will Alex want to do next?,call the doctor,Finish all his projects and postpone the rest,Take time off work,2,81
Sydney made Skylar's connection and got to talk to her mother.,Why did Sydney do this?,Take them out,loved,Take them to eat,0,82
Alex took Casey in her arms who was his long term girlfriend and partner who just reunited.,Why did Alex do this?,missed Casey,give Casey a long kiss,hug Casey for a long time,0,83
Quinn pulled the car over for speeding on the road.,How would you describe Quinn?,lackadaisical,an enforcer,uncaring,1,84
Tracy was beginning a research paper and borrowed a thesis for use.,What does Tracy need to do before this?,go to class,go to the ball field,ask to use it,2,85
Robin thought Taylor was spending too much time on their laptop. Robin took Taylor's laptop.,What will Taylor want to do next?,be capable of seizing the laptop,give the laptop to Robin,get upset at Robin,2,86
